,Bio,Hashtags,Location,Location Coordinates,Mentions,Name,Number Following,Number of Followers,Number of Tweets,Time,Tweet,Tweet ID,Username,Web
409,You can say for sure that I am anti SNP.,,United Kingdom,,DrW0mbat,lizcampbell41,654,1590,90263,Sat Jul 06 23:31:18 +0000 2019,@DrW0mbat The NO voting Scots majority are equally contemptuous of Sturgeon and her SNP!,1147649249607393280,Liz  Campbell,
411,,,,,,___q____5____,247,1688,9091,Sat Jul 06 23:28:19 +0000 2019,"""The SNP leader attended a meeting of the editorial board of the Wall Street Journal [...]  a spokesman for Ms Sturgeon said she was not aware Mr Murdoch would be there.""

Wasn't told presumably 

https://t.co/4ObOb4pW34",1147648501301600256,Coses Catalanes,https://t.co/4ObOb4pW34
413,"Yessica loves martial arts, God , nature including animals, and world peace ^_^",,UK,,YouTube,YessicaGould,14,3,1409,Sat Jul 06 23:23:31 +0000 2019,'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's i... https://t.co/hwGtCd6cEq via @YouTube,1147647292851281921,Yessica Gould,https://t.co/hwGtCd6cEq
422,"fyi, Annie was the reporter in Death Race 2000. one for the younger folks. Steve H.",,Scotland,,arcofprosperity,ochaye6dot5,2774,2879,22669,Sat Jul 06 22:27:39 +0000 2019,@arcofprosperity the no-deal plan .. https://t.co/OU7sHfP6Uj,1147633234441834501,Annie Smith,https://t.co/OU7sHfP6Uj
423,"Playwright, disillusioned Anglophile, Libertarian,  Feeder of stray cats. Loves Europe, but loathes the EU. Retweets are not necessarily endorsements.",,Bath - Paphos,,,SallyPresto,5745,6071,46290,Sat Jul 06 22:23:57 +0000 2019,'Brexit is end of SNP' Former MEP delivers brutal blow to Sturgeon's independence plans https://t.co/56zpnUwGeT,1147632303088250881,Sally Jane,https://t.co/56zpnUwGeT
424,,,,,dontwantexcuses TheEuroGirl JohnBro13002328 dealatrip Unionist_Ger CliveLeadb,JohnTho29498413,900,492,32376,Sat Jul 06 22:13:37 +0000 2019,"@dontwantexcuses @TheEuroGirl @JohnBro13002328 @dealatrip @Unionist_Ger @CliveLeadb The brexit party might not be here by the time of the Scottish Elections . But the biggest plus is Indy 2 itself , it's a vote loser and Sturgeon knows it 😉",1147629701869056000,John Thomson,
429,"The Sword Of Free Speech, Cutting Through The Bullshit, To Get To The Truth.",EU indyref indyref2,Edinburgh,,NicolaSturgeon,Reniour,3109,1696,31674,Sat Jul 06 21:50:50 +0000 2019,"It was legislation within #EU that permitted #indyref Now @NicolaSturgeon has discredited the credibility of referendum what mechanism could she use to establish if there's a requirement for #indyref2
https://t.co/UlhfGP158Q",1147623970243563520,Herculean,https://t.co/UlhfGP158Q
433,"Fox of many tricks and trades! Cartoonist, amateur roboteer, world traveller, musician and artist behind the Kat-Venture comics and the webcomic Transmission.",,"Dundee and Angus, Scotland, UK",,Rab_Ha_Glasgow,FreyFox87,423,780,19487,Sat Jul 06 21:38:26 +0000 2019,@Rab_Ha_Glasgow Once in a TV interview? Nicola Sturgeon says otherwise. https://t.co/LjEnBpNZbN,1147620848276246529,FreyFox,https://t.co/LjEnBpNZbN
434,at my funeral i want them to play the 10 minute live version of Madonna’s Hung Up,,"Glasgow, Scotland",,,josephdcassidy,1060,1336,3699,Sat Jul 06 21:36:40 +0000 2019,wow can’t believe Nicola Sturgeon is the long-lost heir of the Romanov dynasty. https://t.co/BBdVVvvdMS,1147620402967011328,Joseph Cassidy,https://t.co/BBdVVvvdMS
436,"Ex RE Sapper
Fed up with Politicians and their lies We need a clean Brexit or the UK's finished (Following & re-tweeting does not imply endorsement)",,"England, United Kingdom",,,RF_Jenkins,3240,2937,280216,Sat Jul 06 21:23:07 +0000 2019,'Brexit is end of SNP' Former MEP delivers brutal blow to Sturgeon's independence plans https://t.co/4P9EcGCS6X,1147616994604343301,R F Jenkins,https://t.co/4P9EcGCS6X
437,,,,,,thanksEU4_0,459,233,6566,Sat Jul 06 21:21:40 +0000 2019,"Scottish leader Sturgeon wants independence
The she wants to be in the EU
Scottish fisherman must adore her https://t.co/CujWUOpLTb",1147616629687312384,Ken C Dolman,https://t.co/CujWUOpLTb
439,"Pro Brexit anti globalist non PC speaking Northern bloke.Lover of Beer,wine and meat products.Brexit Party",,NW England ,,nibbler11 MarcherLord1,pete_rose83,1338,537,2968,Sat Jul 06 20:55:46 +0000 2019,@nibbler11 @MarcherLord1 Nicola Sturgeon,1147610108576305152,Pete Rose🇬🇧🇺🇸🏴‍☠️,
441,#Architecture #InteriorDesign #HomeDecor #ShopFitters,,,,,DesignMarvels,949,1250,650,Sat Jul 06 20:45:22 +0000 2019,Scotland's first minister prioritises design with rotating exhibition Visitors to the office of Scotland's first minister can peruse a curated collection of design and c https://t.co/Ks57KGMYLv https://t.co/yr8tiXEG3W,1147607493373128704,Marvelous Design,https://t.co/Ks57KGMYLv
444,,,,,,BrianSMcL,69,23,2117,Sat Jul 06 20:26:37 +0000 2019,'Brexit is end of SNP' Former MEP delivers brutal blow to Sturgeon's independence plans https://t.co/ETYT5JK10A,1147602772382101504,Brian McLelland,https://t.co/ETYT5JK10A
445,"Columnist for Herald and Sunday Herald.  BBC TV/ radio presenter for over 20 years.  Author: Disunited Kingdom ""Still best book on the independence vote"" - STV.",,Scotland,,,iainmacwhirter,1325,54440,22471,Sat Jul 06 20:23:03 +0000 2019,The Tory leadership contenders have thrown down the gauntlet to Nicola Sturgeon.  Forget Section 30 orders.  No referendum even if the SNP wins an outright majority.   So what now?   My @heraldscoand column tomorrow.,1147601877841960960,Iain Macwhirter,
448,employed continuously and only in the National Health Service from 1970 to 2015. 'Mean societies produce mean people' https://t.co/fsQUfq5Zq6,,London,,,sebkraemer,2951,1751,53952,Sat Jul 06 20:16:06 +0000 2019,Nicola Sturgeon would welcome a no-deal Brexit with “unseemly glee” https://t.co/Coz7k8RaG0,1147600128582279168,sebastian kraemer,https://t.co/Coz7k8RaG0
449,Caveat Lector,,,,REGENTmanADB,chalscribe,79,57,5046,Sat Jul 06 20:14:05 +0000 2019,@REGENTmanADB Not to mention Nicola Sturgeon interfering as well!,1147599622128513024,Freddie C,
450,Passionate about Scotland and independence. Retweet to find useful info in case I need to find articles in the future! retweeting not necessary endorsements,,"Edinburgh, Scotland",,BBCScotlandNews,JOANEY99,337,274,15563,Sat Jul 06 20:12:46 +0000 2019,@BBCScotlandNews Nicola Sturgeon 🏴󠁧󠁢󠁳󠁣󠁴󠁿,1147599288312238081,Saltire for Hope 🏴󠁧󠁢󠁳󠁣󠁴󠁿,
452,"Proud Scot ,dedicated to achieving Independence.Lets get there.",,,,wordamentalist,archied333,2014,1959,10266,Sat Jul 06 20:06:33 +0000 2019,@wordamentalist Nicola Sturgeon,1147597724843479040,Erchie,
456,"Retweets are not endorsements. 

https://t.co/qra4K9HEGV https://t.co/6Zmkw0bT8S",,"Sydney, New South Wales",,,OzRepublic1776,3034,2161,96117,Sat Jul 06 19:49:15 +0000 2019,'Brexit is end of SNP' Former MEP delivers brutal blow to Sturgeon's independence plans https://t.co/o8nvQ7k6Wt,1147593370614685697,Gimme Some Truth,https://t.co/o8nvQ7k6Wt
469,Latest and breaking news update from authentic news source.,,France,,,TimesEurope,26,110,41375,Sat Jul 06 18:28:39 +0000 2019,‘Brexit is end of SNP’ Former MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/6cc98h2QZ0,1147573088655159296,Times of News Europe,https://t.co/6cc98h2QZ0
470,Latest and breaking news update from authentic news source.,,France,,,TimesEurope,26,110,41375,Sat Jul 06 18:28:39 +0000 2019,‘Brexit is end of SNP’ Former MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/aNdumt4z3k,1147573086398623744,Times of News Europe,https://t.co/aNdumt4z3k
473,ex British Scottish merchant navy of 51 years retired oct 2016,,"Scotland, United Kingdom",,,KellyAlister,2,6,551,Sat Jul 06 18:22:09 +0000 2019,"it the British government don't watch out sturgeon OF THE S.N.P. is going to bring to our land social  unrest in Scotland and other parts of the uk or even a rebellion, she the modern oliver cronwell   &amp; what DAVID CORBON M.E.P SAID she is a VERY BIG  DANGER TO GB UK &amp; TAKE NOTE",1147571451647733760,alister kelly,
485,No DMs.,,Central,,,ChristineF0wler,651,434,7096,Sat Jul 06 17:35:15 +0000 2019,https://t.co/WYazmifDXn https://t.co/LgJHEo2UiF,1147559648721014784,Chris🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺❄️,https://t.co/WYazmifDXn
487,"General Politics Brexit General News. all views are my own , but mutually agreed by many",,United Kingdom,,DavidLammy,DavidLa54668166,225,179,7781,Sat Jul 06 17:25:39 +0000 2019,"@DavidLammy The break up of the U.K. would be a shame but hey you can blame Nicola Sturgeon and the SNP for that, they’ve been trying to get independence for decades, long before brexit , you are such a fool trying to relate brexit and farage to that crap of the SNP",1147557232885817345,David Langley,
491,"👀 Groaker
🍵 Tea sipper
🧀 Tyromancer
🌶 Stomach ulcer cultivator
⌚ Spuddler
🚜 Fan of The Archer's since 03/02/17
🏴󠁧󠁢󠁳󠁣󠁴󠁿Gender Critical feminist woman",,"Ambridge, Borsetshire, England",,,AdaBeeBop,483,443,8516,Sat Jul 06 17:15:28 +0000 2019,Nicola Sturgeon has stated trans rights aren't a threat to women and feminism. So why was Pam treated so appallingly? https://t.co/5tFXOrqazi,1147554668622548992,Ms Ballswaxx,https://t.co/5tFXOrqazi
493,Scottish/British and proud work in South East England home Glasgow & Falkirk enjoy Football Tennis Rugby Music & Politics dislike the SNP & its murky past.,,United Kingdom,,Maryhill_SNP,scottisunionist,1955,1532,10992,Sat Jul 06 17:13:41 +0000 2019,@Maryhill_SNP Didn’t that scowling gargoyle Sturgeon get anointed?🤔,1147554221371330561,will mac,
495,Join the #TheBrexitParty Have You Donated Yet? Consider Standing as An MP? Fill out The Form!,,"South West, England",,,boblister_poole,15587,19819,156317,Sat Jul 06 17:11:27 +0000 2019,'Brexit is end of SNP' Former MEP delivers brutal blow to Sturgeon's independence plans https://t.co/lXJ2bKcXgA,1147553659183599616,Bob For A Full Brexit,https://t.co/lXJ2bKcXgA
498,"The best lack all conviction, while the worst are full of passionate intensity.",,,,Casiowatch163 s26rts_stuart putey_pute pocket_rocket96 AgentP22,bea_johanssen,901,990,6742,Sat Jul 06 16:53:29 +0000 2019,"@Casiowatch163 @s26rts_stuart @putey_pute @pocket_rocket96 @AgentP22 😂

Um...no.

According to Sturgeon, votes for the SNP in the European elections were an accurate representation of support for independence.

The line of travel is pretty clear. https://t.co/LImZEplwC3",1147549136453079040,Bea Johanssen,
499,"Multidisciplinary Design - Product design & development & anything retail design! 
https://t.co/CKSRqqTGMO
https://t.co/62bzIc4a6H https://t.co/at7Us3VIRT",,"White Rock, British Columbia, Canada",,dezeen,Kingspirazion,185,17,7006,Sat Jul 06 16:48:04 +0000 2019,Scotland's first minister prioritises design with rotating exhibition https://t.co/lICQnSPSuf via @dezeen,1147547774067412993,King Design,https://t.co/lICQnSPSuf
509,,,Scotland ,,theSNP,cosmo2207,25,7,1936,Sat Jul 06 16:17:18 +0000 2019,@theSNP Sturgeon is disastrous for scotland,1147540031676067841,cosmo,
510,"i am not about  Politics its about  Truth and Honor,  thats why  I am  supporting Donald Trump , dont believe the MSM propoganda , look for the Truth .",,,,BreitbartNews,LorraineLoudon,446,444,5708,Sat Jul 06 16:11:38 +0000 2019,"@BreitbartNews I live in Scotland and it has been the Scottish govts  main agenda messing with our children, they are sick and SNP  Nicola Sturgeon and her friends  are very supportive of Hilary Clinton et al , deviants ..",1147538607160401921,lorraine loudon,
513,Onwards and upwards.....,,Yarm,,,milliemandu,24,21,2617,Sat Jul 06 15:55:37 +0000 2019,Brexit LIVE: Nicola Sturgeon attacked for failing to prepare for no deal -'Disappointing!' https://t.co/9yv8rt2TzL,1147534577063399424,Milliemandu,https://t.co/9yv8rt2TzL
515,Artist | Designer | Educator,,Surrey,,dezeen,mustbemona,143,56,195,Sat Jul 06 15:36:13 +0000 2019,Scotland's first minister prioritises design with rotating exhibition https://t.co/mtTjI8LPcI via @dezeen,1147529694893375491,Mona Craven,https://t.co/mtTjI8LPcI
516,"Finance, business & IT journalist of distinction, working for Computing (http://t.co/nfHNieG4bX). All tweets my own opinion.",,"Hades, London",,toryboypierce,graemeburton,1003,2262,38248,Sat Jul 06 15:32:46 +0000 2019,@toryboypierce https://t.co/JVi0wQVJkj,1147528826634874882,GB,https://t.co/JVi0wQVJkj
517,Apathetic Artist,,"Greenock, Scotland",,jaystuu,fitzscrounger,2016,1834,31015,Sat Jul 06 15:30:51 +0000 2019,"@jaystuu My wife is from Hampshire and won't have a word said against Nicola Sturgeon then there is the @English4Yes group and no one will persuade me they are any less committed to Independence than I am. Yes there will be some English people voting No, they will be outnumbered by Scots.",1147528340720508928,Benny Fitzscrounger,
519,Yes WTO Brexit-Yes Keep £39bn-No to Neverendum-Yes Brexit_Party-Yes LivingWage-Yes Legalise & Tax Cannabis- Chartered Certified Accountant,,"Lewisham, London",,,TerryGDavis7,4990,2201,10941,Sat Jul 06 15:24:05 +0000 2019,"Nicola Sturgeon is failing Scottish pupils, but nobody seems to notice, or care

I'm reading No sacred cows via the app https://t.co/ywvEuR0uNi",1147526639456333831,TerryGdaviS,https://t.co/ywvEuR0uNi
525,I hate all silicon based life forms. email: Jameseconnor6@gmail.com. I work part time for MI5 and Mossad. Former economics attaché in Morodovia. Honourary Jew.,,,,,edglasgow59,855,2361,165711,Sat Jul 06 15:10:13 +0000 2019,"Asda England

Stella Artois.  £1.52 L
Scotland.        £ 2.40 L

Carling.           £1.33 L
Scotland.        £2.00 L

Thanks Sturgeon for making me buy my beer in England!",1147523148545441797,🏴󠁧󠁢󠁳󠁣󠁴󠁿 The True Voice of Scotland,
526,Scottish Independenista-pure raging at Brexit! 🏴󠁧󠁢󠁳󠁣󠁴󠁿 now brexit exile in Andalucía.,,the hills,,cornwall70001 tom_watson,indyDarling1,2375,2458,31455,Sat Jul 06 15:08:14 +0000 2019,@cornwall70001 @tom_watson Yes I saw that for David Cameron once. Very funny. But Sturgeon has achieved more for Scotland than Cameron did,1147522650018856960,A Holiday mcbot,
527,Breaking News and UK Newspaper content 🇬🇧,,"London, England",,,NewsEuropa,724,945,23255,Sat Jul 06 15:02:57 +0000 2019,⭐ 'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans - Express  ⭐ https://t.co/oCid7iwWlZ,1147521323054379009,PressNews.uk 🇬🇧,https://t.co/oCid7iwWlZ
533,"Strategic thinker, making a positive difference for organisations & businesses. Passionate urbanism. Board member @MelinHomes. LinkedIn: https://t.co/6nnUKkVzUH",,Cardiff,,fmwales dezeen,JohnTJackson,1342,1428,16621,Sat Jul 06 14:30:40 +0000 2019,"Does @fmwales do this? If not, it would be a simple and effective way to promote Welsh design talent. Scotland's first minister prioritises design with rotating exhibition https://t.co/8RXby4xzyh via @dezeen",1147513197848596482,John J,https://t.co/8RXby4xzyh
534,"Born 1946, Married, Retired, Interests, include, , Music,  Cooking,  Walking, Amateur Radio, Aviation, Computers, our Dobermann Lucy.",,"Alva, Clackmannanshire, UK.",,AngryScotland,DUNCANPETTETT,115,13,1459,Sat Jul 06 14:28:48 +0000 2019,@AngryScotland Sorry but it us the other way round . Most non Scottish people living in Scotland fear Independance and the majority of Scottish born people living in Scotland voted NO the last time.Sturgeon does NOT speak for me. Long live the UNITED KINGDOM !!!!,1147512727331659776,DUNCAN PETTETT,
536,st holder lisbon lions 117 dad of 3 follow all Glasgow Celtic fans back celtic then celtic now celtic forever HH COYBIG #indyref2,,"Paisley, Scotland",,fran_and5 KatrinaGilles20 NicolaSturgeon,malkycaveman,1373,1379,958,Sat Jul 06 14:14:40 +0000 2019,@fran_and5 @KatrinaGilles20 @NicolaSturgeon What has nicola sturgeon got to do with someone getting spat on by the orange order this has to be you trying to justify it,1147509171056758784,Malcolm Caveney,
537,"Politics enthusiast. Devil's advocate, if the devil was on legal aid. Controversialist. Man least likely happy with 140 characters. Kindle novelist - ""Endex"".",,,,nyx72 Caledonia1706 bbclornag Frenchi74280369,CraigGlasgow2,72,76,2975,Sat Jul 06 14:13:19 +0000 2019,"@nyx72 @Caledonia1706 @bbclornag @Frenchi74280369 Do you want to block me, or would you rather I blocked you? Sturgeon stood up and in express terms said that Scots must vote remain because it was a UK vote, the English considered as a group might vote leave, and Scotland's votes would keep the UK in the EU. I'm done. Block me.",1147508832236687360,Craig Ross,
538,yer mon from Co-Down. Served in the RAF for 30years. Avid Spurs fan. Politically disenfranchised. Likes Medieval History and a good laugh!,,"Brize Norton, Oxon, UK.",,,HotspurSam,348,1922,70000,Sat Jul 06 14:12:32 +0000 2019,I wonder what Nicola Sturgeon and the SNP think of this guy representing them around the world https://t.co/ODfa6wWyjM,1147508632592048128,HotspurSam,https://t.co/ODfa6wWyjM
539,Just an ordinary bloke. George Orwell fan. Animal Farm is socialism in action. MCFC.  Oldham born.,,"England, United Kingdom",,MagzyG1963 alixmathieson,BarryBear11,253,164,1607,Sat Jul 06 14:08:51 +0000 2019,@MagzyG1963 @alixmathieson Nice one Mags lots of lovely Scottish people out there not all Sturgeon clones,1147507705348800513,Barry Bear,
542,,,In a world of my own,,RealJohnNolan BernardColossus Betfair,GabbyGilfoil,406,129,1151,Sat Jul 06 14:00:51 +0000 2019,"@RealJohnNolan @BernardColossus @Betfair I'd heard he had the job as Nicola Sturgeon's fluffer, unfortunately.",1147505693257273344,John Palmer,
545,Just want to live in an independent scotland,,,,scotfax,AberdeenIndy,40,8,597,Sat Jul 06 13:48:02 +0000 2019,"@scotfax MSP's voted on it😀 And RD got a hammering, Nicola Sturgeon got 66 votes and davidson got 15👍😀",1147502467749470209,ABERDEENINDY,
548,"Knotfm presenter of the Sunday Sports Show & @duttsdiscs,oh & an occasional political tweet. A retweet is not an endorsement. “Shock jock of community radio”",,"England, United Kingdom",,sneydstones GlennAirey MellorGary Kingy_61 st4potter,RussellDutton,3631,2758,141315,Sat Jul 06 13:29:32 +0000 2019,@sneydstones @GlennAirey @MellorGary @Kingy_61 @st4potter Is that Nicola Sturgeon?,1147497813489717253,Russell Dutton 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿 ➡️,
549,"His deep interest in the world isn’t just hinterland, it’s who he is.",,Stockholm,,,daveylittle,1929,2025,69652,Sat Jul 06 13:26:17 +0000 2019,Nicola Sturgeon was FM in 2014 https://t.co/Hw2HCRwNhJ,1147496994933551104,davey twittle,https://t.co/Hw2HCRwNhJ
550,a natural Eeyore,,London/Essex,,kjnorbury,csbw_,358,333,10409,Sat Jul 06 13:25:09 +0000 2019,@kjnorbury Nicola Sturgeon,1147496710706536455,Charlotte Woodward,
557,"🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️🇪🇺 #One in 125,000. #SaorAlbaGuBrath, #Proud Member of @TheSNP 🏴󠁧󠁢󠁳󠁣󠁴󠁿 , Music, (Guitar Learner), Art, ❤️& Peace",,"Chapelhall, Scotland",,BBCScotlandNews,BHCMax,1004,1082,42530,Sat Jul 06 13:00:40 +0000 2019,@BBCScotlandNews Nicola Sturgeon. 🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️🇪🇺,1147490546493153281,AndyMc 🏴󠁧󠁢󠁳󠁣󠁴󠁿#DissolveTheUkUnion,
561,"In a world of untrustworthy politicians & a media with their own agendas, like hundreds of millions of people around the world I feel politically homeless!",Brexit Politics,United Kingdom,,,UK_ElectionNews,20083,21069,366719,Sat Jul 06 12:55:05 +0000 2019,'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans… https://t.co/AiDz1EpQAw #Brexit #Politics,1147489141657165826,Politically Homeless Politics,https://t.co/AiDz1EpQAw
567,"I vow to thee my country.PC is killing UK culture and tradition.I hate SNP, Muslim/Islam,EU,Halal,sexual deviants,LGBT groomers.United we stand,divided we fall.",,Brigadoon - aka Govanhill,,,UKOAP,1727,1725,31179,Sat Jul 06 12:26:12 +0000 2019,"Brexit news: Scottish MEP delivers brutal blow to Sturgeon's independence plans | UK | News | https://t.co/mrmVnlaxm7
https://t.co/E14yrgExVX...  
BREXIT PARTY MEP David Coburn claimed the UK leaving the European Union will mark 'the end' of the Scottish National Party...",1147481872915673089,UKOAP,https://t.co/mrmVnlaxm7 https://t.co/E14yrgExVX
571,Press News from around the world,,"London, England",,,press_pool,93,95,15374,Sat Jul 06 12:14:32 +0000 2019,"⭐ 'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans - Express ⭐ 
https://t.co/K5ctQVHSb3",1147478938932920321,PRESS.international,https://t.co/K5ctQVHSb3
572,Lets do a 'Road-Trip' Holiday!,,,,dezeen,RoadTripEU1,347,130,12744,Sat Jul 06 12:12:46 +0000 2019,Scotland's first minister prioritises design with rotating exhibition https://t.co/FpxawUvV7J via @dezeen,1147478491329454080,Road Trip EU,https://t.co/FpxawUvV7J
574,"Politics. History. Shakespeare. Adult Education. A snapper-up of unconsidered trifles. ""Aberdonian to my core"".",,"Scotland, United Kingdom",,pressjournal,snapperup,2037,623,8739,Sat Jul 06 12:06:52 +0000 2019,@pressjournal What does Nicola Sturgeon bring to the party?,1147477007481135106,Susan,
575,"Loves Europe but a committed leaver, supporter of a #cleanbrexit.just right of liberal. Enjoys sensible debate. #leavemeansleave.",,Warwickshire,,DavidLammy,goldendbrown,1064,1167,38434,Sat Jul 06 12:05:57 +0000 2019,@DavidLammy Once again Mr Lammy is guilty of tunnel vision.The SNPs continual threat of leaving the Union has nothing to do with Brexit but the deep desire of Ms Sturgeon &amp; others for an Independent Scotland. Sure Scotland voted to remain in the EU but they also voted to remain in the Union.,1147476775884247042,David Brown,
576,デザイン情報、インテリア、家具、家電、乗り物、グッズ、生活雑貨、デジタル製品、プロダクトデザインなどの話題や情報＆アイテム紹介（ #living #product #concept #architecture #room #interior #gadget #art #design  ）,,,,,design2news,82,130,54770,Sat Jul 06 12:05:36 +0000 2019,Scotland's first minister prioritises design with rotating exhibition https://t.co/Hu91BuMj4f https://t.co/OoU7Je1s7R,1147476689351405571,デザイン情報＆インテリアNEWS,https://t.co/Hu91BuMj4f
585,"Breaking news in Aberdeen, Scotland",,,,,AberdeenBugle,30,33,7216,Sat Jul 06 11:49:18 +0000 2019,Aberdeen | ‘Brexit is end of SNP’ Scottish MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/7F9gc0ICph https://t.co/7lbNl8rCks,1147472587980726272,Aberdeen Bugle,https://t.co/7F9gc0ICph
586,"Covering news not covered elsewhere, news about Edinburgh, Glasgow, Aberdeen, Falkirk, Perth, Stirling and Cowdenbeath",,"Scotland, Edinburgh",,,Scotland4me,5633,6765,1003538,Sat Jul 06 11:43:46 +0000 2019,‘Brexit is end of SNP’ Scottish MEP delivers brutal blow to Sturgeon’s independence plans https://t.co/BYQV3ec93e,1147471194142191616,Internet Magazine,https://t.co/BYQV3ec93e
589,Spurs Fan. COYS.,,London,,,AdrianJohnSroka,784,821,47948,Sat Jul 06 11:28:14 +0000 2019,'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans https://t.co/1OwVhs4xFB,1147467284744736768,Adrian Sroka,https://t.co/1OwVhs4xFB
590,Spurs Fan. COYS.,,London,,,AdrianJohnSroka,784,821,47948,Sat Jul 06 11:28:09 +0000 2019,'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans https://t.co/o2QzU90wMj,1147467265635495936,Adrian Sroka,https://t.co/o2QzU90wMj
592,"Cold war, diesel submarine engineer--never voted 'cept for brexit bit of a little Englander in truth and not ashamed of it.",,"Lincolnshire, UK",,,actiontiff,3497,2131,31056,Sat Jul 06 11:22:44 +0000 2019,Brexit news: Scottish MEP delivers brutal blow to Sturgeon's independence plans | UK | News | https://t.co/tZJVkFBrBo https://t.co/Ee96PsvVuW,1147465902415319040,"John F Austin GCE ""Eng Lang. 0 level""",https://t.co/tZJVkFBrBo https://t.co/Ee96PsvVuW
593,@brexitparty_uk Former Member of European Parliament for Scotland (2014-2019). British Unionist & Secular Libertarian #Trident #AynRand #FreeSpeech,,Kingdom of Fife,,,Coburn4Brexit,15394,20087,145583,Sat Jul 06 11:18:58 +0000 2019,https://t.co/LPfzQBdmCu,1147464952199962624,David Coburn,https://t.co/LPfzQBdmCu
597,Follow to see the latest news and comment on Britain's progress out of the EU.,,London,,,BrexitHome,7254,10657,36679,Sat Jul 06 11:05:00 +0000 2019,'Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans https://t.co/69YxUghSwn,1147461438409232385,Brexit Home,https://t.co/69YxUghSwn
599,http://t.co/xNo7rgb8JJ - Home of the Daily and Sunday Express,Brexit,London,,,Daily_Express,619,783212,662428,Sat Jul 06 10:58:31 +0000 2019,"' #Brexit is end of SNP' Scottish MEP delivers brutal blow to Sturgeon's independence plans
https://t.co/X4GuezBdep https://t.co/0X0tBNYwoE",1147459809328939008,Daily Express,https://t.co/X4GuezBdep
614,Glory to Hibernian🇳🇬! Leith! Edinburgh🇪🇺! Scotland! Ukraine🇺🇦! Слава Україні!,,EDINBURGH SCOTLAND,,bellacaledonia IrvineWelsh,ROMANPANKIW,48,101,6470,Sat Jul 06 10:18:00 +0000 2019,"@bellacaledonia @IrvineWelsh Some say a Country gets the Leader it deserves.
Scotland has decent Nicola Sturgeon.
England gets indecent Boris Johnson.",1147449612845879297,ROMAN PANKIW 🇺🇦,
615,"They asked me how well I understood theoretical physics, I said I had a theoretical degree in physics. They said welcome aboard.",,Scotland,,S_U_A_R jammach 1or2_C12H22O11 theSNP,MW988,1514,352,25164,Sat Jul 06 10:17:53 +0000 2019,@S_U_A_R @jammach @1or2_C12H22O11 @theSNP Oh the reform will never happen will Nicola Sturgeon is leader she is a coward.,1147449583611592704,Hume,
620,The latest US and UK Politics news from https://t.co/UsBasWmhJ1,,"Boston, MA",,,ZaqsPolitics,1672,962,23954,Sat Jul 06 10:00:02 +0000 2019,Brexit LIVE: Nicola Sturgeon attacked for failing to prepare for no deal -'Disappointing!' -- SCOTLAND'S First Minister needs to do more to prepare for a no-deal Brexit as current... https://t.co/qh7co7ejbR,1147445088915611648,ZAQS Politics News,https://t.co/qh7co7ejbR
623,From Scotland living in Scotland.,,,,cheeseandchive Sheilam19534814 Rachael2Win Conservatives NicolaSturgeon,MrScotland3,79,8,127,Sat Jul 06 09:55:03 +0000 2019,"@cheeseandchive @Sheilam19534814 @Rachael2Win @Conservatives @NicolaSturgeon It's not that difficult -
https://t.co/aBHmGLUGNf",1147443835854905344,Mr Scot,https://t.co/aBHmGLUGNf
624,😇😇😇😇😇,,"Blue Bell, PA",,,junemcallister3,2583,1702,19923,Sat Jul 06 09:53:44 +0000 2019,Yes this country sturgeon has fractured scotland https://t.co/yvG6f6hNMu,1147443502516723714,june mcallister,https://t.co/yvG6f6hNMu
627,Haggis Farmer in Gods Country Scotland. I follow back unless your a Nat. No DMs from unknowns.,,RT's Are Not An Endorsement,,,ISambaman,1561,1462,48191,Sat Jul 06 09:42:48 +0000 2019,"As it's the weekend and allegedly Nicola Sturgeon is angling for a way out of the SNP. What will be her legacy, what will she be able to point at and say, I did that.",1147440752320032769,Silvio Tattisconie 💎,
633,Breaking Pro Brexit news stories.,,,,,BBrexitNews,113,212,975,Sat Jul 06 09:24:43 +0000 2019,Brexit LIVE: Nicola Sturgeon attacked for failing to prepare for no deal -‘Disappointing!’ https://t.co/9zcDGNTTqQ https://t.co/86U9U7qm7b,1147436203521843200,BREAKING BREXIT NEWS,https://t.co/9zcDGNTTqQ
